authority_id,authority_type,preferred_label_el,preferred_label_en,uri,source_id,review_state
deity_or_cult-agnoste-archaia-aphierose,deity_or_cult,Άγνωστη αρχαία αφιέρωση,Unknown ancient dedication,,src-pleiades-943504072,reviewed
deity_or_cult-agnoste-theoteta,deity_or_cult,Άγνωστη θεότητα,Unknown deity,,src-pleiades-963441586,reviewed
deity_or_cult-ammon-zeys-ammon,deity_or_cult,Άμμων/Ζευς Άμμων,Ammon/Zeus Ammon,,src-pleiades-716520,reviewed
deity_or_cult-amphiaraos-kai-ygeia,deity_or_cult,Αμφιάραος και Υγεία,Amphiaraos and Hygieia,,src-pleiades-540628,reviewed
deity_or_cult-aphaia,deity_or_cult,Αφαία,Aphaia,,src-pleiades-579872,reviewed
deity_or_cult-aphrodite-aphrodisias,deity_or_cult,Αφροδίτη Αφροδισιάς,Aphrodite of Aphrodisias,,src-aphrodisias-excavations-68b8b8553e48,reviewed
deity_or_cult-aphrodite-golgia,deity_or_cult,Αφροδίτη Γολγία,Aphrodite Golgia,,src-pleiades-707470,reviewed
deity_or_cult-aphrodite-paphia,deity_or_cult,Αφροδίτη Παφία,Aphrodite Paphia,,src-pleiades-828989863,reviewed
deity_or_cult-apollon,deity_or_cult,Απόλλων,Apollo,,src-pleiades-418729933,reviewed
deity_or_cult-apollon-amyklaios-kai-yakinthos,deity_or_cult,Απόλλων Αμυκλαίος και Υάκινθος,Apollo Amyklaios and Hyakinthos,,src-pleiades-73644851,reviewed
deity_or_cult-apollon-artemis-kai-leto,deity_or_cult,"Απόλλων, Άρτεμις και Λητώ","Apollo, Artemis and Leto",,src-pleiades-599506,reviewed
deity_or_cult-apollon-delphinios-zeys-kai-athena,deity_or_cult,"Απόλλων Δελφίνιος, Ζευς και Αθηνά","Apollo Delphinios, Zeus and Athena",,src-penn-a97aa05ea214,reviewed
deity_or_cult-apollon-didymaios,deity_or_cult,Απόλλων Διδυμαίος,Apollo Didymaios,,src-pleiades-599593,reviewed
deity_or_cult-apollon-epikoyrios,deity_or_cult,Απόλλων Επικούριος,Apollo Epicurius,,src-pleiades-570148,reviewed
deity_or_cult-apollon-ietros,deity_or_cult,Απόλλων Ιητρός,Apollo Iatros,,src-pleiades-216706,reviewed
deity_or_cult-apollon-ietros-zeys-kai-aphrodite,deity_or_cult,"Απόλλων Ιητρός, Ζευς και Αφροδίτη","Apollo Ietros, Zeus and Aphrodite",,src-pleiades-216839,reviewed
deity_or_cult-apollon-kai-artemis,deity_or_cult,Απόλλων και Άρτεμις,Apollo and Artemis,,src-pleiades-854812387,reviewed
deity_or_cult-apollon-karneios-artemis-kai-kyrene,deity_or_cult,"Απόλλων Καρνείος, Άρτεμις και Κυρήνη","Apollo Karneios, Artemis and Cyrene",,src-pleiades-464482220,reviewed
deity_or_cult-apollon-klarios,deity_or_cult,Απόλλων Κλάριος,Apollo Klarios,,src-pleiades-599719,reviewed
deity_or_cult-apollon-pythios,deity_or_cult,Απόλλων Πύθιος,Apollo Pythios,,src-pleiades-540726,reviewed
deity_or_cult-apollon-smintheys,deity_or_cult,Απόλλων Σμινθεύς,Apollo Smintheus,,src-pleiades-550892,reviewed
deity_or_cult-apollon-thermios,deity_or_cult,Απόλλων Θέρμιος,Apollon Thermios,,src-pleiades-728329645,reviewed
deity_or_cult-apollon-ylates,deity_or_cult,Απόλλων Υλάτης,Apollo Hylates,,src-pleiades-707476,reviewed
deity_or_cult-artemis-brayronia-kai-iphigeneia,deity_or_cult,Άρτεμις Βραυρωνία και Ιφιγένεια,Artemis Brauronia and Iphigenia,,src-pleiades-579879,reviewed
deity_or_cult-artemis-elaphebolos-kai-apollon-abaios,deity_or_cult,Άρτεμις Ελαφηβόλος και Απόλλων Αβαίος,Artemis Elaphebolos and Apollo Abaios,,src-pleiades-955675680,reviewed
deity_or_cult-artemis-ephesia,deity_or_cult,Άρτεμις Εφεσία,Artemis Ephesia,,src-pleiades-873985034,reviewed
deity_or_cult-artemis-kai-aytokratorike-latreia,deity_or_cult,Άρτεμις και αυτοκρατορική λατρεία,Artemis and Imperial Cult,,src-pleiades-66376536,reviewed
deity_or_cult-artemis-leykophryene,deity_or_cult,Άρτεμις Λευκοφρυηνή,Artemis Leucophryene,,src-pleiades-599778,reviewed
deity_or_cult-asklepios-kai-telesphoros,deity_or_cult,Ασκληπιός και Τελεσφόρος,Asclepius and Telesphorus,,src-pleiades-550459,reviewed
deity_or_cult-asklepios-ygeia-kai-apollon,deity_or_cult,"Ασκληπιός, Υγεία και Απόλλων","Asclepius, Hygeia and Apollo",,src-pleiades-599528,reviewed
deity_or_cult-asklepios-ygeia-kai-apollon-maleatas,deity_or_cult,"Ασκληπιός, Υγεία και Απόλλων Μαλεάτας","Asclepius, Hygieia and Apollo Maleatas",,src-pleiades-570127,reviewed
deity_or_cult-athena-alea,deity_or_cult,Αθηνά Αλέα,Athena Alea,,src-pleiades-372843530,reviewed
deity_or_cult-athena-lindia,deity_or_cult,Αθηνά Λινδία,Athena Lindia,,src-pleiades-414067217,reviewed
deity_or_cult-athena-polias,deity_or_cult,Αθηνά Πολιάς,Athena Polias,,src-pleiades-298577312,reviewed
deity_or_cult-athena-polias-athena-parthenos-kai-erechtheas,deity_or_cult,"Αθηνά Πολιάς, Αθηνά Παρθένος και Ερεχθέας","Athena Polias, Athena Parthenos and Erechtheus",,src-pleiades-638356144,reviewed
deity_or_cult-athena-pronaia,deity_or_cult,Αθηνά Προναία,Athena Pronaia,,src-pleiades-513711610,reviewed
deity_or_cult-demetra-kai-apollon,deity_or_cult,Δήμητρα και Απόλλων,Demeter and Apollo,,src-pleiades-599631,reviewed
deity_or_cult-demetra-kai-kore-persephone,deity_or_cult,Δήμητρα και Κόρη/Περσεφόνη,Demeter and Kore/Persephone,,src-pleiades-579910,reviewed
deity_or_cult-demetra-malophoros,deity_or_cult,Δήμητρα Μαλοφόρος,Demeter Malophoros,,src-pleiades-502577471,reviewed
deity_or_cult-dias-naios-kai-dione,deity_or_cult,Δίας Νάιος και Διώνη,Zeus Naios and Dione,,src-pleiades-530843,reviewed
deity_or_cult-dias-olympios-kai-era,deity_or_cult,Δίας Ολύμπιος και Ήρα,Olympian Zeus and Hera,,src-pleiades-570531,reviewed
deity_or_cult-dionysos,deity_or_cult,Διόνυσος,Dionysus,,src-pleiades-599661,reviewed
deity_or_cult-ekate,deity_or_cult,Εκάτη,Hecate,,src-pleiades-376215160,reviewed
deity_or_cult-elene-kai-menelaos,deity_or_cult,Ελένη και Μενέλαος,Helen and Menelaus,,src-pleiades-570477,reviewed
deity_or_cult-era,deity_or_cult,Ήρα,Hera,,src-pleiades-442611,reviewed
deity_or_cult-era-akraia-kai-era-limenia,deity_or_cult,Ήρα Ακραία και Ήρα Λιμενία,Hera Akraia and Hera Limenia,,src-pleiades-570288,reviewed
deity_or_cult-era-argeia,deity_or_cult,Ήρα Αργεία,Argive Hera,,src-pleiades-570289,reviewed
deity_or_cult-era-lakinia,deity_or_cult,Ήρα Λακινία,Hera Lacinia,,src-pleiades-452332,reviewed
deity_or_cult-era-samia,deity_or_cult,Ήρα Σαμία,Samian Hera,,src-pleiades-599641,reviewed
deity_or_cult-kabeiroi-kai-ephaistos,deity_or_cult,Κάβειροι και Ήφαιστος,Kabeiroi and Hephaistos,,src-pleiades-550604,reviewed
deity_or_cult-koino-iero-ton-ellenikon-poleon,deity_or_cult,Κοινό ιερό των ελληνικών πόλεων,Common sanctuary of Greek cities,,src-britishmuseum-4626abd5cbdd,reviewed
deity_or_cult-leto-apollon-kai-artemis,deity_or_cult,"Λητώ, Απόλλων και Άρτεμις","Leto, Apollo and Artemis",,src-pleiades-638958,reviewed
deity_or_cult-megaloi-theoi-kabeiroi,deity_or_cult,Μεγάλοι Θεοί/Κάβειροι,Great Gods/Kabeiroi,,src-pleiades-501511,reviewed
deity_or_cult-minoike-theoteta-koryphes,deity_or_cult,Μινωική θεότητα κορυφής,Minoan peak deity,,src-pleiades-559217802,reviewed
deity_or_cult-parthenos,deity_or_cult,Παρθένος,Parthenos,,src-whc-329a28f5c851,reviewed
deity_or_cult-persephone-kai-ades,deity_or_cult,Περσεφόνη και Άδης,Persephone and Hades,,src-museoarcheologicoreggiocalabria-a34e7a2bfa16,reviewed
deity_or_cult-ployton-kai-kore,deity_or_cult,Πλούτων και Κόρη,Plouton and Kore,,src-pleiades-232079424,reviewed
deity_or_cult-poseidon-elikonios,deity_or_cult,Ποσειδών Ελικώνιος,Poseidon Helikonius,,src-pleiades-599855,reviewed
deity_or_cult-poseidon-iatros-kai-amphitrite,deity_or_cult,Ποσειδών Ιατρός και Αμφιτρίτη,Poseidon Iatros and Amphitrite,,src-pleiades-590006,reviewed
deity_or_cult-poseidon-kai-palaimon,deity_or_cult,Ποσειδών και Παλαίμων,Poseidon and Palaimon,,src-pleiades-570316,reviewed
deity_or_cult-poseidon-soynios,deity_or_cult,Ποσειδών Σούνιος,Poseidon Sounios,,src-pleiades-580086,reviewed
deity_or_cult-sarapis-isis-kai-arpokrates,deity_or_cult,"Σάραπις, Ίσις και Αρποκράτης","Sarapis, Isis and Harpocrates",,src-pleiades-182618516,reviewed
deity_or_cult-zeys-atabyrios,deity_or_cult,Ζευς Αταβύριος,Zeus Atabyrios,,src-pleiades-590099,reviewed
deity_or_cult-zeys-idaios-kai-rea,deity_or_cult,Ζευς Ιδαίος και Ρέα,Zeus Idaeus and Rhea,,src-pleiades-589817,reviewed
deity_or_cult-zeys-labrandeys,deity_or_cult,Ζευς Λαβρανδεύς,Zeus Labrandeus,,src-pleiades-599745,reviewed
deity_or_cult-zeys-lykaios,deity_or_cult,Ζευς Λύκαιος,Zeus Lycaeus,,src-pleiades-570764,reviewed
deity_or_cult-zeys-nemeios,deity_or_cult,Ζευς Νέμειος,Nemean Zeus,,src-pleiades-570504,reviewed
deity_or_cult-zeys-olympios,deity_or_cult,Ζευς Ολύμπιος,Olympian Zeus,,src-pleiades-103565779,reviewed
dynasty-agathokles-kai-oikogeneia,dynasty,Αγαθοκλής και οικογένεια,Agathocles and his family,,src-britishmuseum-073d3f0a8ae4,reviewed
dynasty-agnoste-mykenaike-dioiketike-elit,dynasty,Άγνωστη μυκηναϊκή διοικητική ελίτ,Unknown Mycenaean administrative elite,,src-odysseus-9e3ae0cba911,reviewed
