chronology_id,entity_id,start_year,end_year,start_precision,end_precision,temporal_precision,chronology_basis,display_cutoff,label_el,label_en,note_el,note_en,source_id,review_state
chronology-city-aegina-city-primary,city-aegina-city,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-579853,reviewed
chronology-city-aigai-macedonia-primary,city-aigai-macedonia,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-491512,reviewed
chronology-city-alexandria-egypt-primary,city-alexandria-egypt,-331,600,approximate,display_cutoff,approximate,occupation_window,1,331 π.Χ.–600 μ.Χ. (όριο άτλαντα),331 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-727070,reviewed
chronology-city-antioch-orontes-primary,city-antioch-orontes,-300,600,approximate,display_cutoff,approximate,occupation_window,1,300 π.Χ.–600 μ.Χ. (όριο άτλαντα),300 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-658381,reviewed
chronology-city-argos-primary,city-argos,-1100,600,approximate,display_cutoff,approximate,occupation_window,1,1100 π.Χ.–600 μ.Χ. (όριο άτλαντα),1100 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570106,reviewed
chronology-city-athens-attica-primary,city-athens-attica,-1400,600,approximate,display_cutoff,approximate,occupation_window,1,1400 π.Χ.–600 μ.Χ. (όριο άτλαντα),1400 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-579885,reviewed
chronology-city-chalcis-euboea-primary,city-chalcis-euboea,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-540703,reviewed
chronology-city-chios-city-primary,city-chios-city,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-550496,reviewed
chronology-city-corinth-primary,city-corinth,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570182,reviewed
chronology-city-demetrias-primary,city-demetrias,-294,600,approximate,display_cutoff,approximate,occupation_window,1,294 π.Χ.–600 μ.Χ. (όριο άτλαντα),294 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-540730,reviewed
