external_id,entity_id,place_id,scheme,identifier,uri,match_type,source_id
ext-pleiades-city-aegina-city,city-aegina-city,,pleiades,579853,https://pleiades.stoa.org/places/579853,exact,src-pleiades-579853
ext-pleiades-city-aigai-macedonia,city-aigai-macedonia,,pleiades,491512,https://pleiades.stoa.org/places/491512,exact,src-pleiades-491512
ext-pleiades-city-alexandria-egypt,city-alexandria-egypt,,pleiades,727070,https://pleiades.stoa.org/places/727070,exact,src-pleiades-727070
ext-pleiades-city-antioch-orontes,city-antioch-orontes,,pleiades,658381,https://pleiades.stoa.org/places/658381,exact,src-pleiades-658381
ext-pleiades-city-argos,city-argos,,pleiades,570106,https://pleiades.stoa.org/places/570106,exact,src-pleiades-570106
ext-pleiades-city-athens-attica,city-athens-attica,,pleiades,579885,https://pleiades.stoa.org/places/579885,exact,src-pleiades-579885
ext-pleiades-city-chalcis-euboea,city-chalcis-euboea,,pleiades,540703,https://pleiades.stoa.org/places/540703,exact,src-pleiades-540703
ext-pleiades-city-chios-city,city-chios-city,,pleiades,550496,https://pleiades.stoa.org/places/550496,exact,src-pleiades-550496
ext-pleiades-city-corinth,city-corinth,,pleiades,570182,https://pleiades.stoa.org/places/570182,exact,src-pleiades-570182
ext-pleiades-city-demetrias,city-demetrias,,pleiades,540730,https://pleiades.stoa.org/places/540730,exact,src-pleiades-540730
ext-pleiades-city-dion,city-dion,,pleiades,491572,https://pleiades.stoa.org/places/491572,exact,src-pleiades-491572
ext-pleiades-city-epidaurus-city,city-epidaurus-city,,pleiades,570228,https://pleiades.stoa.org/places/570228,exact,src-pleiades-570228
ext-pleiades-city-eretria-euboea,city-eretria-euboea,,pleiades,579925,https://pleiades.stoa.org/places/579925,exact,src-pleiades-579925
ext-pleiades-city-gortyn,city-gortyn,,pleiades,589796,https://pleiades.stoa.org/places/589796,exact,src-pleiades-589796
ext-pleiades-city-knossos,city-knossos,,pleiades,589872,https://pleiades.stoa.org/places/589872,exact,src-pleiades-589872
