name_id,entity_id,name,language,script,name_type,is_preferred,start_year,end_year,source_id,review_state
name-city-aegina-city-el-preferred,city-aegina-city,Αίγινα,el,Grek,preferred,1,,,src-pleiades-579853,reviewed
name-city-aegina-city-en-preferred,city-aegina-city,Aegina,en,Latn,preferred,1,,,src-pleiades-579853,reviewed
name-city-aegina-city-grc-ancient,city-aegina-city,Αἴγινα,grc,Grek,ancient,0,,,src-pleiades-579853,reviewed
name-city-aigai-macedonia-el-preferred,city-aigai-macedonia,Αιγές,el,Grek,preferred,1,,,src-pleiades-491512,reviewed
name-city-aigai-macedonia-en-preferred,city-aigai-macedonia,Aigai,en,Latn,preferred,1,,,src-pleiades-491512,reviewed
name-city-aigai-macedonia-grc-ancient,city-aigai-macedonia,Αἰγαί,grc,Grek,ancient,0,,,src-pleiades-491512,reviewed
name-city-alexandria-egypt-el-preferred,city-alexandria-egypt,Αλεξάνδρεια,el,Grek,preferred,1,,,src-pleiades-727070,reviewed
name-city-alexandria-egypt-en-preferred,city-alexandria-egypt,Alexandria,en,Latn,preferred,1,,,src-pleiades-727070,reviewed
name-city-alexandria-egypt-grc-ancient,city-alexandria-egypt,Ἀλεξάνδρεια,grc,Grek,ancient,0,,,src-pleiades-727070,reviewed
name-city-antioch-orontes-el-preferred,city-antioch-orontes,Αντιόχεια επί Ορόντου,el,Grek,preferred,1,,,src-pleiades-658381,reviewed
name-city-antioch-orontes-en-preferred,city-antioch-orontes,Antioch on the Orontes,en,Latn,preferred,1,,,src-pleiades-658381,reviewed
name-city-antioch-orontes-grc-ancient,city-antioch-orontes,Ἀντιόχεια ἡ ἐπὶ Ὀρόντου,grc,Grek,ancient,0,,,src-pleiades-658381,reviewed
name-city-argos-el-preferred,city-argos,Άργος,el,Grek,preferred,1,,,src-pleiades-570106,reviewed
name-city-argos-en-preferred,city-argos,Argos,en,Latn,preferred,1,,,src-pleiades-570106,reviewed
name-city-argos-grc-ancient,city-argos,Ἄργος,grc,Grek,ancient,0,,,src-pleiades-570106,reviewed
name-city-athens-attica-el-preferred,city-athens-attica,Αθήνα,el,Grek,preferred,1,,,src-pleiades-579885,reviewed
name-city-athens-attica-en-preferred,city-athens-attica,Athens,en,Latn,preferred,1,,,src-pleiades-579885,reviewed
name-city-athens-attica-grc-ancient,city-athens-attica,Ἀθῆναι,grc,Grek,ancient,0,,,src-pleiades-579885,reviewed
name-city-chalcis-euboea-el-preferred,city-chalcis-euboea,Χαλκίδα,el,Grek,preferred,1,,,src-pleiades-540703,reviewed
name-city-chalcis-euboea-en-preferred,city-chalcis-euboea,Chalcis,en,Latn,preferred,1,,,src-pleiades-540703,reviewed
name-city-chalcis-euboea-grc-ancient,city-chalcis-euboea,Χαλκίς,grc,Grek,ancient,0,,,src-pleiades-540703,reviewed
name-city-chios-city-el-preferred,city-chios-city,Χίος,el,Grek,preferred,1,,,src-pleiades-550496,reviewed
name-city-chios-city-en-preferred,city-chios-city,Chios,en,Latn,preferred,1,,,src-pleiades-550496,reviewed
name-city-chios-city-grc-ancient,city-chios-city,Χίος,grc,Grek,ancient,0,,,src-pleiades-550496,reviewed
name-city-corinth-el-preferred,city-corinth,Κόρινθος,el,Grek,preferred,1,,,src-pleiades-570182,reviewed
name-city-corinth-en-preferred,city-corinth,Corinth,en,Latn,preferred,1,,,src-pleiades-570182,reviewed
name-city-corinth-grc-ancient,city-corinth,Κόρινθος,grc,Grek,ancient,0,,,src-pleiades-570182,reviewed
name-city-demetrias-el-preferred,city-demetrias,Δημητριάδα,el,Grek,preferred,1,,,src-pleiades-540730,reviewed
name-city-demetrias-en-preferred,city-demetrias,Demetrias,en,Latn,preferred,1,,,src-pleiades-540730,reviewed
name-city-demetrias-grc-ancient,city-demetrias,Δημητριάς,grc,Grek,ancient,0,,,src-pleiades-540730,reviewed
name-city-dion-el-preferred,city-dion,Δίον,el,Grek,preferred,1,,,src-pleiades-491572,reviewed
name-city-dion-en-preferred,city-dion,Dion,en,Latn,preferred,1,,,src-pleiades-491572,reviewed
name-city-dion-grc-ancient,city-dion,Δῖον,grc,Grek,ancient,0,,,src-pleiades-491572,reviewed
name-city-epidaurus-city-el-preferred,city-epidaurus-city,Επίδαυρος,el,Grek,preferred,1,,,src-pleiades-570228,reviewed
name-city-epidaurus-city-en-preferred,city-epidaurus-city,Epidaurus,en,Latn,preferred,1,,,src-pleiades-570228,reviewed
name-city-epidaurus-city-grc-ancient,city-epidaurus-city,Ἐπίδαυρος,grc,Grek,ancient,0,,,src-pleiades-570228,reviewed
name-city-eretria-euboea-el-preferred,city-eretria-euboea,Ερέτρια,el,Grek,preferred,1,,,src-pleiades-579925,reviewed
name-city-eretria-euboea-en-preferred,city-eretria-euboea,Eretria,en,Latn,preferred,1,,,src-pleiades-579925,reviewed
name-city-eretria-euboea-grc-ancient,city-eretria-euboea,Ἐρέτρια,grc,Grek,ancient,0,,,src-pleiades-579925,reviewed
name-city-gortyn-el-preferred,city-gortyn,Γόρτυνα,el,Grek,preferred,1,,,src-pleiades-589796,reviewed
name-city-gortyn-en-preferred,city-gortyn,Gortyn,en,Latn,preferred,1,,,src-pleiades-589796,reviewed
name-city-gortyn-grc-ancient,city-gortyn,Γόρτυν,grc,Grek,ancient,0,,,src-pleiades-589796,reviewed
name-city-knossos-el-preferred,city-knossos,Κνωσός,el,Grek,preferred,1,,,src-pleiades-589872,reviewed
name-city-knossos-en-preferred,city-knossos,Knossos,en,Latn,preferred,1,,,src-pleiades-589872,reviewed
name-city-knossos-grc-ancient,city-knossos,Κνωσός,grc,Grek,ancient,0,,,src-pleiades-589872,reviewed
name-city-kos-city-el-preferred,city-kos-city,Κως,el,Grek,preferred,1,,,src-pleiades-599728,reviewed
name-city-kos-city-en-preferred,city-kos-city,Kos,en,Latn,preferred,1,,,src-pleiades-599728,reviewed
name-city-kos-city-grc-ancient,city-kos-city,Κῶς,grc,Grek,ancient,0,,,src-pleiades-599728,reviewed
