place_id,entity_id,latitude,longitude,geometry_wkt,geometry_geojson,geometry_role,location_certainty,location_precision,modern_country_el,modern_country_en,country_iso3,country_iso2,modern_locality,coordinate_source_text,spatial_note_el,spatial_note_en,source_id,review_state
place-city-aegina-city,city-aegina-city,37.750149,23.423668,POINT (23.423668 37.750149),"{""coordinates"":[23.423668,37.750149],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Αίγινα,Pleiades representative point,,,src-pleiades-579853,reviewed
place-city-aigai-macedonia,city-aigai-macedonia,40.480092,22.321872,POINT (22.321872 40.480092),"{""coordinates"":[22.321872,40.480092],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Βεργίνα,Pleiades representative point,,,src-pleiades-491512,reviewed
place-city-alexandria-egypt,city-alexandria-egypt,31.201435,29.909773,POINT (29.909773 31.201435),"{""coordinates"":[29.909773,31.201435],""type"":""Point""}",site,high,exact,Αίγυπτος,Egypt,EGY,EG,Alexandria,Pleiades representative point,,,src-pleiades-727070,reviewed
place-city-antioch-orontes,city-antioch-orontes,36.222551,36.183214,POINT (36.183214 36.222551),"{""coordinates"":[36.183214,36.222551],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,"Antakya, Hatay",Pleiades representative point,,,src-pleiades-658381,reviewed
place-city-argos,city-argos,37.631047,22.72038,POINT (22.72038 37.631047),"{""coordinates"":[22.72038,37.631047],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Άργος,Pleiades representative point,,,src-pleiades-570106,reviewed
place-city-athens-attica,city-athens-attica,37.971637,23.723914,POINT (23.723914 37.971637),"{""coordinates"":[23.723914,37.971637],""type"":""Point""}",site,high,approximate,Ελλάδα,Greece,GRC,GR,Αθήνα,Pleiades representative point,,,src-pleiades-579885,reviewed
place-city-chalcis-euboea,city-chalcis-euboea,38.457139,23.621937,POINT (23.621937 38.457139),"{""coordinates"":[23.621937,38.457139],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Χαλκίδα,Pleiades representative point,,,src-pleiades-540703,reviewed
place-city-chios-city,city-chios-city,38.372239,26.132979,POINT (26.132979 38.372239),"{""coordinates"":[26.132979,38.372239],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Χίος,Pleiades representative point,,,src-pleiades-550496,reviewed
place-city-corinth,city-corinth,37.905642,22.878614,POINT (22.878614 37.905642),"{""coordinates"":[22.878614,37.905642],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Αρχαία Κόρινθος,Pleiades representative point,,,src-pleiades-570182,reviewed
place-city-demetrias,city-demetrias,39.343481,22.924029,POINT (22.924029 39.343481),"{""coordinates"":[22.924029,39.343481],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Νέα Αγχίαλος / Βόλος,Pleiades representative point,,,src-pleiades-540730,reviewed
place-city-dion,city-dion,40.176388,22.491437,POINT (22.491437 40.176388),"{""coordinates"":[22.491437,40.176388],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Δίον Πιερίας,Pleiades representative point,,,src-pleiades-491572,reviewed
place-city-epidaurus-city,city-epidaurus-city,37.633463,23.160156,POINT (23.160156 37.633463),"{""coordinates"":[23.160156,37.633463],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Παλαιά Επίδαυρος,Pleiades representative point,,,src-pleiades-570228,reviewed
place-city-eretria-euboea,city-eretria-euboea,38.399917,23.794721,POINT (23.794721 38.399917),"{""coordinates"":[23.794721,38.399917],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Ερέτρια,Pleiades representative point,,,src-pleiades-579925,reviewed
place-city-gortyn,city-gortyn,35.062107,24.946943,POINT (24.946943 35.062107),"{""coordinates"":[24.946943,35.062107],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Γόρτυνα Ηρακλείου,Pleiades representative point,,,src-pleiades-589796,reviewed
