relationship_id,subject_entity_id,predicate,object_entity_id,object_authority_id,object_label_el,object_label_en,certainty,source_id,migration_evidence_el,review_state
rel-002da86a7640,colony-leontinoi,founded_from,colony-naxos-sicily,,Νάξος Σικελίας,Naxos,medium,src-pleiades-462279,metropolis_el: Νάξος Σικελίας,reviewed
rel-00a1765669aa,sanctuary-menelaion-sparta,associated_with_settlement,city-sparta,,Σπάρτη,Sparta,high,src-pleiades-570477,Ρητή επιμελητική σύνδεση του Μενελαείου με τη Σπάρτη.,reviewed
rel-0274ef90207b,sanctuary-pantikapaion-apollo-ietros-sanctuary,associated_with_settlement,colony-panticapaeum,,Παντικάπαιο,Panticapaeum,high,src-pleiades-854719,Ρητή επιμελητική σύνδεση του ιερού με το Παντικάπαιο.,reviewed
rel-02991338ff30,colony-callatis,founded_from,colony-heraclea-pontica,,Ηράκλεια Ποντική,Heraclea Pontica,medium,src-pleiades-216744,metropolis_el: Ηράκλεια Ποντική,reviewed
rel-03d62fdc5966,sanctuary-claros-apollo-oracle,cult_of,,deity_or_cult-apollon-klarios,Απόλλων Κλάριος,Apollo Klarios,medium,src-pleiades-599719,deity_or_cult_el: Απόλλων Κλάριος,reviewed
rel-047a344ee96a,kingdom-seleucid,succeeded_by,,polity-romaike-syria-parthiko-basileio-kai-alla-periphereiaka-krate,"Ρωμαϊκή Συρία, Παρθικό βασίλειο και άλλα περιφερειακά κράτη","Roman Syria, Parthian kingdom and other peripheral states",medium,src-metmuseum-31540f5687cf,"successor_el: Ρωμαϊκή Συρία, Παρθικό βασίλειο και άλλα περιφερειακά κράτη",reviewed
rel-052821e0ed68,sanctuary-oropos-amphiareion,cult_of,,deity_or_cult-amphiaraos-kai-ygeia,Αμφιάραος και Υγεία,Amphiaraos and Hygieia,medium,src-pleiades-540628,deity_or_cult_el: Αμφιάραος και Υγεία,reviewed
rel-059e948338a4,kingdom-tiryns-palatial,ruled_by_dynasty,,dynasty-agnoste-oi-proitides-anekoyn-ste-mythike-paradose,Άγνωστη· οι Προιτίδες ανήκουν στη μυθική παράδοση,Unknown; the Proitides belong to the mythic tradition,medium,src-whc-6306f630553d,dynasty_el: Άγνωστη· οι Προιτίδες ανήκουν στη μυθική παράδοση,reviewed
rel-066d030baf75,kingdom-macedon-antigonid,ruled_by_dynasty,,dynasty-antigonides,Αντιγονίδες,Antigonids,medium,src-metmuseum-50fe20dc493f,dynasty_el: Αντιγονίδες,reviewed
rel-090dbf0652d9,kingdom-indo-greek-menandrid,preceded_by,,polity-proima-indoellenika-basileia,Πρώιμα ινδοελληνικά βασίλεια,Early Indo-Greek kingdoms,medium,src-iranicaonline-612dff96c99c,predecessor_el: Πρώιμα ινδοελληνικά βασίλεια,reviewed
rel-09155c25e573,kingdom-attalid-pergamon,ruled_by_dynasty,,dynasty-attalides,Ατταλίδες,Attalids,medium,src-metmuseum-50fe20dc493f,dynasty_el: Ατταλίδες,reviewed
rel-0ace6d8e4c36,kingdom-attalid-pergamon,succeeded_by,,polity-romaike-eparchia-asia,Ρωμαϊκή επαρχία Ασία,Roman province of Asia,medium,src-metmuseum-50fe20dc493f,successor_el: Ρωμαϊκή επαρχία Ασία,reviewed
rel-0bdc59ee44e8,kingdom-tiryns-palatial,preceded_by,,polity-mesoelladikes-kai-proimes-mykenaikes-koinotetes,Μεσοελλαδικές και πρώιμες μυκηναϊκές κοινότητες,Middle Helladic and early Mycenaean communities,medium,src-whc-6306f630553d,predecessor_el: Μεσοελλαδικές και πρώιμες μυκηναϊκές κοινότητες,reviewed
rel-0bf49800707e,kingdom-syracuse-agathocles,succeeded_by,,polity-metagathokleideia-astatheia-stis-syrakoyses,Μεταγαθοκλείδεια αστάθεια στις Συρακούσες,Post-Agathoclean instability at Syracuse,medium,src-britishmuseum-073d3f0a8ae4,successor_el: Μεταγαθοκλείδεια αστάθεια στις Συρακούσες,reviewed
rel-0d81e8247d39,kingdom-seleucid,preceded_by,,polity-aytokratoria-toy-alexandroy-kai-satrapeies-ton-diadochon,Αυτοκρατορία του Αλεξάνδρου και σατραπείες των Διαδόχων,Empire of Alexander and satrapies of the Successors,medium,src-metmuseum-31540f5687cf,predecessor_el: Αυτοκρατορία του Αλεξάνδρου και σατραπείες των Διαδόχων,reviewed
rel-0dbf9cae8cb7,kingdom-lysimachid,representative_center,,settlement-lysimacheia,Λυσιμάχεια,Lysimachia,high,src-pleiades-501458,representative_center_el: Λυσιμάχεια,reviewed
rel-0de5dd198fae,kingdom-salamis-cyprus,ruled_by_dynasty,,dynasty-teykrides-kai-istorikes-basilikes-grammes-metaxy-toys-oi-eyagorides,"Τευκρίδες και ιστορικές βασιλικές γραμμές, μεταξύ τους οι Ευαγορίδες","Teucrids and historical royal lines, including the Evagorids",medium,src-uni-muenster-0a0030be4d2a,"dynasty_el: Τευκρίδες και ιστορικές βασιλικές γραμμές, μεταξύ τους οι Ευαγορίδες",reviewed
rel-101dfed03f3e,kingdom-athens-mycenaean,ruled_by_dynasty,,dynasty-agnoste-oi-erechtheides-anekoyn-ste-mythike-paradose,Άγνωστη· οι Ερεχθείδες ανήκουν στη μυθική παράδοση,Unknown; the Erechtheids belong to mythic tradition,medium,src-whc-228f1be9c035,dynasty_el: Άγνωστη· οι Ερεχθείδες ανήκουν στη μυθική παράδοση,reviewed
rel-120252305217,kingdom-indo-greek-menandrid,representative_center,,settlement-sagala,Σάγαλα,Sagala,high,src-iranicaonline-612dff96c99c,representative_center_el: Σάγαλα,reviewed
rel-1217f5b7d0b5,kingdom-athens-mycenaean,succeeded_by,,polity-proime-epoche-toy-sideroy-sten-athena,Πρώιμη Εποχή του Σιδήρου στην Αθήνα,Early Iron Age in Athens,medium,src-whc-228f1be9c035,successor_el: Πρώιμη Εποχή του Σιδήρου στην Αθήνα,reviewed
rel-129d7b643ccd,colony-teos,founded_from,,settlement-athena-kai-boiotia-paradose,Αθήνα και Βοιωτία (παράδοση),Athens and Boeotia (tradition),medium,src-pleiades-550913,metropolis_el: Αθήνα και Βοιωτία (παράδοση),reviewed
rel-12dacc8eff7f,colony-amphipolis,founded_from,city-athens-attica,,Αθήνα,Athens,medium,src-pleiades-501347,metropolis_el: Αθήνα,reviewed
rel-13f9862e1af0,kingdom-seleucid,ruled_by_dynasty,,dynasty-seleykides,Σελευκίδες,Seleucids,medium,src-metmuseum-31540f5687cf,dynasty_el: Σελευκίδες,reviewed
rel-14bd08b82692,kingdom-indo-greek-menandrid,succeeded_by,,polity-ystera-periphereiaka-indoellenika-basileia,Ύστερα περιφερειακά ινδοελληνικά βασίλεια,Later regional Indo-Greek kingdoms,medium,src-iranicaonline-612dff96c99c,successor_el: Ύστερα περιφερειακά ινδοελληνικά βασίλεια,reviewed
rel-168505ff3d8c,kingdom-paphos-cyprus,representative_center,,settlement-palaipaphos-koyklia,"Παλαίπαφος, Κούκλια",Palaepaphos (Kouklia),high,src-websites-d5246844b076,"representative_center_el: Παλαίπαφος, Κούκλια",reviewed
rel-17206788a259,sanctuary-alexandria-serapeum,cult_of,,deity_or_cult-sarapis-isis-kai-arpokrates,"Σάραπις, Ίσις και Αρποκράτης","Sarapis, Isis and Harpocrates",medium,src-pleiades-182618516,"deity_or_cult_el: Σάραπις, Ίσις και Αρποκράτης",reviewed
rel-17db0a337b33,kingdom-thebes-palatial,preceded_by,,polity-proimes-mykenaikes-koinotetes-tes-boiotias,Πρώιμες μυκηναϊκές κοινότητες της Βοιωτίας,Early Mycenaean communities of Boeotia,medium,src-mthv-715d665b63b5,predecessor_el: Πρώιμες μυκηναϊκές κοινότητες της Βοιωτίας,reviewed
rel-17ed503aae7d,colony-croton,founded_from,,settlement-achaia,Αχαΐα,Achaia,medium,src-pleiades-452317,metropolis_el: Αχαΐα,reviewed
rel-18e47a4caa28,colony-apollonia-cyrenaica,founded_from,colony-cyrene,,Κυρήνη,Cyrene,medium,src-pleiades-373732,metropolis_el: Κυρήνη,reviewed
rel-190b651ef9aa,kingdom-salamis-cyprus,representative_center,,settlement-salamina-kyproy,Σαλαμίνα Κύπρου,"Salamis, Cyprus",high,src-uni-muenster-0a0030be4d2a,representative_center_el: Σαλαμίνα Κύπρου,reviewed
rel-19122ab689a1,colony-colophon,founded_from,,settlement-athena-ionike-paradose,Αθήνα (ιωνική παράδοση),Athens (Ionic tradition),medium,src-pleiades-599577,metropolis_el: Αθήνα (ιωνική παράδοση),reviewed
rel-196748495cc9,colony-cnidus,founded_from,city-sparta,,Σπάρτη,Sparta,medium,src-pleiades-599575,metropolis_el: Σπάρτη,reviewed
