source_id,url,title,publisher,source_class,language,license,accessed_on,http_status,url_status,citation,notes
src-aphrodisias-excavations-c69862729c7d,https://aphrodisias-excavations.com/templeofaphrodite/,Aphrodisias Excavations source record,Aphrodisias Excavations,excavation_project,en,,2026-08-14,,unchecked,Aphrodisias Excavations. https://aphrodisias-excavations.com/templeofaphrodite/ (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-armus-4dde844bac8f,https://www.armus.hr/en/museum/museum-history/collection-and-site-issa,Archaeological Museum in Split source record,Archaeological Museum in Split,museum,en,,2026-08-14,,unchecked,Archaeological Museum in Split. https://www.armus.hr/en/museum/museum-history/collection-and-site-issa (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-attalus-1b40f4436114,https://www.attalus.org/names/b/bithynia.html,Attalus source record,Attalus,reference_work,en,,2026-08-14,,unchecked,Attalus. https://www.attalus.org/names/b/bithynia.html (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-britishmuseum-073d3f0a8ae4,https://www.britishmuseum.org/collection/object/C_2013-4030-144,The British Museum source record,The British Museum,museum,en,,2026-08-14,,unchecked,The British Museum. https://www.britishmuseum.org/collection/object/C_2013-4030-144 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-britishmuseum-4626abd5cbdd,https://www.britishmuseum.org/collection/term/x113864,The British Museum source record,The British Museum,museum,en,,2026-08-14,,unchecked,The British Museum. https://www.britishmuseum.org/collection/term/x113864 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-britishmuseum-d101eb623c92,https://www.britishmuseum.org/collection/object/C_TC-p80-56-Syr,The British Museum source record,The British Museum,museum,en,,2026-08-14,,unchecked,The British Museum. https://www.britishmuseum.org/collection/object/C_TC-p80-56-Syr (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-cambridge-96106a304cc6,https://www.cambridge.org/core/books/cambridge-companion-to-alexander-the-great/contexts/D0DFBC7B39E453BD0E365F56F74DA097,Cambridge University Press source record,Cambridge University Press,peer_reviewed_publication,en,,2026-08-14,,unchecked,Cambridge University Press. https://www.cambridge.org/core/books/cambridge-companion-to-alexander-the-great/contexts/D0DFBC7B39E453BD0E365F56F74DA097 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-discovery-dd8bc12f19e5,https://discovery.ucl.ac.uk/10062899/1/1873-5363_bnj_fulltextxml_a162.pdf,University College London source record,University College London,university,en,,2026-08-14,,unchecked,University College London. https://discovery.ucl.ac.uk/10062899/1/1873-5363_bnj_fulltextxml_a162.pdf (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-encyclopediaofukraine-237e86aa1350,https://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CB%5CO%5CBosporanKingdom.htm,Internet Encyclopedia of Ukraine source record,Internet Encyclopedia of Ukraine,reference_work,en,,2026-08-14,,unchecked,Internet Encyclopedia of Ukraine. https://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CB%5CO%5CBosporanKingdom.htm (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-iranicaonline-0f32c4ee76cf,https://www.iranicaonline.org/articles/scythians/,Encyclopaedia Iranica source record,Encyclopaedia Iranica,reference_work,en,,2026-08-14,,unchecked,Encyclopaedia Iranica. https://www.iranicaonline.org/articles/scythians/ (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
