id,name_el,name_ancient,name_en,entity_type,subtype,sanctuary_scope,sanctuary_setting,sanctuary_function_tags,ancient_region,modern_country,modern_country_iso3,modern_locality,latitude,longitude,geometry_wkt,start_year,end_year,date_note_el,chronology_basis,start_precision,end_precision,chronology_note_el,metropolis_el,associated_city_el,representative_center_el,deity_or_cult_el,dynasty_el,predecessor_el,successor_el,description_el,temporal_precision,location_certainty,coordinate_source,pleiades_location_precision,geometry_role,spatial_note_el,source_url,secondary_source_url,pleiades_id,data_version,review_status
city-alexandria-egypt,Αλεξάνδρεια,Ἀλεξάνδρεια,Alexandria,city,polis,,,,Αίγυπτος,Αίγυπτος,EGY,Alexandria,31.201435,29.909773,POINT (29.909773 31.201435),-331,600,331 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Πόλη που ίδρυσε ο Αλέξανδρος και πρωτεύουσα των Πτολεμαίων, με κορυφαίο λιμάνι και πνευματικά ιδρύματα.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/727070,,727070,0.1 — 2026-08-14,curated_initial
city-argos,Άργος,Ἄργος,Argos,city,polis,,,,Αργολίδα,Ελλάδα,GRC,Άργος,37.631047,22.72038,POINT (22.72038 37.631047),-1100,600,1100 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Μία από τις μακροβιότερες πόλεις της Πελοποννήσου και σημαντικό κέντρο της Αργολίδας.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570106,,570106,0.1 — 2026-08-14,curated_initial
city-epidaurus-city,Επίδαυρος,Ἐπίδαυρος,Epidaurus,city,polis,,,,Αργολίδα,Ελλάδα,GRC,Παλαιά Επίδαυρος,37.633463,23.160156,POINT (23.160156 37.633463),-800,600,800 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Παράκτια πόλη της Αργολίδας, πολιτικό κέντρο της επικράτειας όπου βρισκόταν και το Ασκληπιείο.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570228,,570228,0.1 — 2026-08-14,curated_initial
city-mantinea,Μαντίνεια,Μαντίνεια,Mantinea,city,polis,,,,Αρκαδία,Ελλάδα,GRC,Μαντίνεια,37.617379,22.392578,POINT (22.392578 37.617379),-500,600,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Αρκαδική πόλη γνωστή για τις συγκρούσεις Σπάρτης και Θήβας στην πεδιάδα της.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570459,,570459,0.1 — 2026-08-14,curated_initial
city-megalopolis,Μεγαλόπολη,Μεγάλη Πόλις,Megalopolis,city,polis,,,,Αρκαδία,Ελλάδα,GRC,Μεγαλόπολη,37.414271,22.126396,POINT (22.126396 37.414271),-371,600,371 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Ομοσπονδιακό κέντρο του Κοινού των Αρκάδων, δημιουργημένο με συνοικισμό τον 4ο αιώνα π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570467,,570467,0.1 — 2026-08-14,curated_initial
city-tegea,Τεγέα,Τεγέα,Tegea,city,polis,,,,Αρκαδία,Ελλάδα,GRC,Αλέα Τεγέας,37.455301,22.420672,POINT (22.420672 37.455301),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Σημαντική αρκαδική πόλη και μακροχρόνια αντίπαλος της Σπάρτης.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570707,,570707,0.1 — 2026-08-14,curated_initial
city-athens-attica,Αθήνα,Ἀθῆναι,Athens,city,polis,,,,Αττική,Ελλάδα,GRC,Αθήνα,37.971637,23.723914,POINT (23.723914 37.971637),-1400,600,1400 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Κεντρική πόλη της Αττικής και κορυφαία ναυτική, πολιτική και πνευματική δύναμη της κλασικής εποχής.",approximate,high,Pleiades representative point,rough,site,,https://pleiades.stoa.org/places/579885,,579885,0.1 — 2026-08-14,curated_initial
city-piraeus,Πειραιάς,Πειραιεύς,Piraeus,city,polis,,,,Αττική,Ελλάδα,GRC,Πειραιάς,37.937222,23.644609,POINT (23.644609 37.937222),-493,600,493 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Οχυρωμένο επίνειο της Αθήνας, οργανωμένο ως κύρια βάση του αθηναϊκού στόλου στις αρχές του 5ου αιώνα π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/580062,,580062,0.1 — 2026-08-14,curated_initial
city-patrae,Πάτρα,Πάτραι,Patrae,city,polis,,,,Αχαΐα,Ελλάδα,GRC,Πάτρα,38.243265,21.738518,POINT (21.738518 38.243265),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Αχαϊκή πόλη που αναπτύχθηκε ιδιαίτερα ως λιμάνι και ρωμαϊκή αποικία.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570567,,570567,0.1 — 2026-08-14,curated_initial
city-thebes-boeotia,Θήβα,Θῆβαι,Thebes,city,polis,,,,Βοιωτία,Ελλάδα,GRC,Θήβα,38.319949,23.317653,POINT (23.317653 38.319949),-1400,600,1400 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Ηγετική πόλη της Βοιωτίας, με κορύφωση της ισχύος της τον 4ο αιώνα π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/541138,,541138,0.1 — 2026-08-14,curated_initial
