entity_id,position,commons_title
city-chalcis-euboea,1,File:Chalkis - 480 BC - silver tetradrachm - eagle - five-spoked wheel - Berlin MK AM.jpg
city-chalcis-euboea,2,"File:Monnaie - Argent, Eubée, Chalcis - btv1b103167496 (1 of 2).jpg"
city-chios-city,1,File:Chios - 550 BC - elektron stater - sphinx - quadratum incusum - Berlin MK AM 18202942.jpg
city-chios-city,2,File:Chios - 478-431 BC - silver tetradrachmon - sphinx and amphora - quadratum incusum - München SMS.jpg
city-demetrias,1,File:Αρχαίο θέατρο Δημητριάδας 0243.jpg
city-demetrias,2,File:Υδραγωγείο Δημητριάδας 0245.jpg
city-megara,1,"File:Ιερό Δήμητρας, Μέγαρα 0428.jpg"
city-megara,2,File:Map of Archaic Megara Ukr.png
city-naxos-cyclades,1,"File:Entrance Roman era, Grotta Naxos 091424.jpg"
city-naxos-cyclades,2,File:Ancient coins from Naxos - Laurenberg Johann - 1661.jpg
city-patrae,1,File:Roman Odeon of Patras - 1.jpg
city-patrae,2,File:Patras (Ancient Patrae) Achaia engraving by William Miller after H W Williams.jpg
city-smyrna,1,"File:Pauly-Wissowa III A,1, 0747 Map Smyrna.png"
city-smyrna,2,File:Aeolic Capital.jpg
colony-ancona,1,File:Anfiteatro romano di Ancona (81427).jpg
colony-ancona,2,File:Anfiteatro romano di Ancona (26884).jpg
colony-callatis,1,File:Situl Arheologic Callatis CT-I-s-A-02696 (3).jpg
colony-callatis,2,File:Necropola tumulara de la vest de Mangalia.jpg
colony-catana,1,"File:Katane - 450-430 BC - silver tetradrachm - charioteer driving quadriga - head of Apollon - Berlin MK AM 18206151.jpg"
colony-catana,2,"File:Katane - 461-413 BC - silver tetradrachm - charioteer driving quadriga - head of Apollon - München SMS 01.jpg"
colony-colophon,1,File:Colophon2.jpg
colony-colophon,2,File:Colophon3.jpg
colony-croton,1,"File:Greece, Croton, 6th-5th century BC - Stater - 1916.985 - Cleveland Museum of Art.jpg"
colony-croton,2,File:Capo colonna.jpg
colony-dioscurias,1,"File:Monnaie - Bronze, Dioscurias, Colchide - btv1b10300503q (1 of 2).jpg"
colony-dioscurias,2,"File:Monnaie - Bronze, Dioscurias, Colchide - btv1b10300503q (2 of 2).jpg"
colony-byzantium,1,File:Drachmen Byzantion.JPG
colony-byzantium,2,File:Drachme Byzantion Rs.JPG
colony-cnidus,1,File:Knidos 05831-05844.jpg
colony-cnidus,2,File:Knidos-Häfen.jpg
colony-epidamnos,1,File:Amfiteatri i Durrësit nga droni 1.jpg
colony-epidamnos,2,"File:Dyrrachium, moneta in bronzo, III-I secolo ac ca.jpg"
colony-euesperides,1,File:Hesperides ruins.JPG
colony-euesperides,2,"File:Aphrodite from Benghazi, Libya 150-100 BCE Greek (43818493390).jpg"
colony-heraclea-pontica,1,"File:Herakleia Pontike - Münzkabinett, Berlin - 5472018.jpg"
colony-heraclea-pontica,2,File:Drachme du royaume de Bithynie à l'effigie d'Héraclée pontique.jpg
colony-tragurion,1,File:Ancient relief in the Kairos museum of Trogir.jpg
colony-tragurion,2,File:Greek inscription in the Kairos museum of Trogir.jpg
colony-trapezus,1,File:Trapezus.png
colony-trapezus,2,"File:Monnaie - Bronze, Trapézos - btv1b85610201 (1 of 2).jpg"
colony-zancle-messana,1,"File:Monete della sicilia greca, zancle (messena), tetradracma in argento, con lepre, V secolo ac.jpg"
colony-zancle-messana,2,File:Zankle-Messene - 515-493 BC - silver trite - dolphin - shell - London BM 1946-0101-1075.jpg
sanctuary-selinous-demeter-malophoros-sanctuary,1,File:Sanctuary Selinunte935.jpg
sanctuary-selinous-demeter-malophoros-sanctuary,2,File:Selinunte malophoros3.jpg
city-athens-attica,1,"File:View of the archaeological site of the Ancient Agora of Athens on June 11, 2021.jpg"
city-athens-attica,2,File:Panoramic view of the archaeological site of the Ancient Agora from the Areopagus.jpg
city-olynthus,1,File:Ancient Olynthos Chalkidiki - Greece - 048.jpg
city-olynthus,2,File:Olynthos from ancient Olynthos.jpg
city-thessalonica,1,"File:Thessaloniki, Antike Agora - Forum Romanum (47832110941).jpg"
city-thessalonica,2,File:Erotes sarcophagus from Thessalonica 2380.jpg
colony-abydos,1,File:Ruines d'Abydos - Choiseul-gouffier Gabriel Florent Auguste De - 1822.jpg
