entity_id,pleiades_id,status,local_longitude,local_latitude,pleiades_longitude,pleiades_latitude,distance_m,geometry_role,local_location_certainty,pleiades_title,pleiades_modified,retrieved_on,decision
city-alexandria-egypt,727070,matched,29.909773,31.201435,29.909773,31.201435,0.00,site,high,Alexandria,2026-08-05T20:54:58Z,2026-08-15,retain_local_and_report_distance
city-argos,570106,matched,22.72038,37.631047,22.720380240841404,37.63104688932719,0.02,site,high,Argos,2026-05-12T21:03:39Z,2026-08-15,retain_local_and_report_distance
city-epidaurus-city,570228,matched,23.160156,37.633463,23.16015635,37.6334625,0.06,site,high,Epidauros,2024-06-01T16:22:42Z,2026-08-15,retain_local_and_report_distance
city-mantinea,570459,matched,22.392578,37.617379,22.3925775,37.6173785,0.07,site,high,Mantineia/Antigoneia,2024-02-05T16:49:39Z,2026-08-15,retain_local_and_report_distance
city-megalopolis,570467,matched,22.126396,37.414271,22.126396162110474,37.414271210950176,0.03,site,high,Megalopolis,2026-07-24T13:05:11Z,2026-08-15,retain_local_and_report_distance
city-tegea,570707,matched,22.420672,37.455301,22.420672,37.455301,0.00,site,high,Tegea,2025-08-03T12:43:28Z,2026-08-15,retain_local_and_report_distance
city-athens-attica,579885,matched,23.723914,37.971637,23.723914356100423,37.97163725472171,0.04,site,high,Athenae,2026-08-11T13:59:57Z,2026-08-15,retain_local_and_report_distance
city-piraeus,580062,matched,23.644609,37.937222,23.644609,37.937222,0.00,site,high,Peiraieus/Piraeus,2025-07-06T01:41:00Z,2026-08-15,retain_local_and_report_distance
city-patrae,570567,matched,21.738518,38.243265,21.738518,38.243265,0.00,site,high,Patra(e),2024-03-22T10:06:47Z,2026-08-15,retain_local_and_report_distance
city-thebes-boeotia,541138,matched,23.317653,38.319949,23.317653433333334,38.319948833333335,0.04,site,high,Thebai/Thebae,2026-03-27T19:58:04Z,2026-08-15,retain_local_and_report_distance
city-eretria-euboea,579925,matched,23.794721,38.399917,23.79472107553096,38.39991690381873,0.01,site,high,Eretria (Euboea),2026-04-28T20:10:11Z,2026-08-15,retain_local_and_report_distance
city-chalcis-euboea,540703,matched,23.621937,38.457139,23.621937,38.457139,0.00,site,high,Chalcis,2024-02-25T02:21:56Z,2026-08-15,retain_local_and_report_distance
city-larissa-thessaly,540905,matched,22.42097,39.634851,22.42097025,39.634851,0.02,site,high,Larissa,2026-01-08T04:53:46Z,2026-08-15,retain_local_and_report_distance
city-pherae-thessaly,541044,matched,22.753851,39.379043,22.753851,39.379043,0.00,site,high,Pherai,2025-04-27T02:30:46Z,2026-08-15,retain_local_and_report_distance
city-smyrna,550893,matched,27.141387,38.417196,27.141387,38.41719605,0.01,site,high,Smyrna/Eurydikeia,2024-09-06T21:55:36Z,2026-08-15,retain_local_and_report_distance
city-samos-city,599925,matched,26.944483,37.68825,26.944483,37.68825,0.00,site,high,Samos (settlement),2025-02-03T01:51:15Z,2026-08-15,retain_local_and_report_distance
city-chios-city,550496,matched,26.132979,38.372239,26.132979,38.3722387,0.03,site,high,Chios (settlement),2023-08-29T14:40:52Z,2026-08-15,retain_local_and_report_distance
city-corinth,570182,matched,22.878614,37.905642,22.878614390874485,37.90564164345828,0.05,site,high,Corinthus/Korinthos,2026-02-09T03:04:08Z,2026-08-15,retain_local_and_report_distance
city-sicyon,570668,matched,22.712193,37.983819,22.712193310834493,37.983819217860635,0.04,site,high,Sicyon/Demetrias,2025-07-15T03:33:20Z,2026-08-15,retain_local_and_report_distance
city-gortyn,589796,matched,24.946943,35.062107,24.946943,35.062107,0.00,site,high,Gortyn(a),2025-12-14T20:12:33Z,2026-08-15,retain_local_and_report_distance
city-knossos,589872,matched,25.163106,35.297847,25.163106,35.297847,0.00,site,high,Knosos/Col. Iulia Nobilis Cnosos,2025-12-14T02:52:58Z,2026-08-15,retain_local_and_report_distance
city-thera-city,599971,matched,25.47843,36.363279,25.47843030068955,36.363279190867146,0.03,site,high,Thera,2023-12-06T23:38:10Z,2026-08-15,retain_local_and_report_distance
